date,open,close,high,low,ret_pct,range_pct,first30_range_pct,rv_bp_1m,trend_score,mr_swings_5m,pnl,wins,losses,entries,exits
2026-04-08,674.13,675.87,676.605,671.46,0.25811045347336703,0.7632059098393459,0.4287006957115076,2.8241698534914725,0.33819241982507586,25,221.9638,8,5,13,13
2026-04-09,674.29,679.87,681.16,673.77,0.8275371131115754,1.0959676103753557,0.2565661658930161,2.866007478774004,0.7550744248985184,40,163.0442,11,9,22,20
2026-04-10,681.54,679.31,682.03,678.45,-0.3272001643337175,0.5252809813070293,0.22302432725886898,2.015055918518519,0.6229050279329786,26,-172.8273,5,11,17,16
2026-04-13,679.57,686.01,686.3,679.015,0.947658077902194,1.0720014126579995,0.19865503185838435,2.3728703683959775,0.8840082361015743,30,272.4998,9,5,17,14
2026-04-14,690.99,694.4,694.58,690.61,0.4934948407357513,0.5745379817363532,0.1548358152795209,1.590528570378673,0.8589420654911699,27,340.4198,10,7,19,17
2026-04-15,696.92,699.84,700.28,695.7,0.4189863972909477,0.6571772943809802,0.17362107558974293,1.9124050090922184,0.6375545851528645,30,499.0414,15,5,22,20
2026-04-16,699.1499,701.55,702.78,698.87,0.34328832772484874,0.5592505984768028,0.19166133042428124,2.40001982750967,0.6138363171355427,37,-219.5673,3,11,14,14
2026-04-17,709.24,710.04,712.39,708.99,0.11279679657097098,0.4793863854266507,0.2967965709773868,2.6551152914415694,0.23529411764704702,31,-34.577,10,7,18,17
2026-04-20,708.93,708.69,709,706.14,-0.033853836062784116,0.4034248797483551,0.35546527865938554,1.9565300792426528,0.08391608391604695,27,156.6644,4,2,8,6
2026-04-21,710.56,704.15,710.78,702.64,-0.9021053816707904,1.1455753208736752,0.4672371087592796,3.277738348395591,0.7874692874692849,35,123.2946,12,8,20,20
2026-04-22,710.51,711.21,711.45,708.8,0.0985207808475666,0.37297152749434787,0.16678160757764782,1.9216044144604147,0.2641509433962345,39,175.5,6,0,12,6
2026-04-23,710.51,708.44,712.3598,702.2803,-0.29134002336349046,1.4186288722185387,0.23293127471815636,3.840016003059213,0.2053673297286521,28,-144.9888,9,11,20,20
2026-04-24,709.89,713.98,714.47,709.45,0.5761456000225432,0.7071518122525999,0.30427249292143405,2.2137044589338104,0.814741035856583,35,574.7716,12,6,19,18
2026-04-27,713.4592,715.15,715.63,712.295,0.2369862214966136,0.4674408851970843,0.19314349019538085,1.4140791286120058,0.5069865067466114,38,-31.1966,6,6,16,12
2026-04-28,711.26,711.68,712.19,709.25,0.05905013637769016,0.41335095464387916,0.3275876613334141,2.165178362646478,0.14285714285712628,30,5.3417,6,8,16,14
2026-04-29,711.48,711.59,712.2,708.37,0.01546072974644595,0.5383144993534661,0.1264968797436458,2.426115265739511,0.02872062663185704,30,-216.0046,4,10,16,14
2026-04-30,712.01,718.43,719.79,711.18,0.9016727293155937,1.2092526790354088,0.4185334475639413,2.208470385044586,0.74564459930313,32,65.8708,9,8,20,17
2026-05-01,724.27,720.67,724.38,720.47,-0.49705220428845914,0.5398539218799575,0.27199801179118666,2.1987554177818676,0.9207161125319826,24,-45.1208,8,7,18,15
